CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,5.5,3.5,4.5,5.5,3.5,8.5,2.5,9
4.5,3.5,6.5,2.5,7.999889627481008,3.5,6.5,3.5,10
0.5,1.5,2.5,1.5,5.5,2.5,6.5,5.5,7
0.5,3.5,3.5,3.5,5.5,2.5,5.5,3.5,4
0.5,2.5,1.5,3.5,3.5,2.5,5.5,1.5,8
1.5,1.5,4.5,1.5,6.5,2.5,8.5,1.5,16
0.5,3.5,1.5,4.5,3.5,1.5,5.5,1.5,8
0.5,4.5,0.5,4.5,2.5,4.5,7.5,3.5,8
0.5,3.5,1.5,2.5,3.5,2.5,8.5,3.5,9
0.5,3.5,1.5,2.5,4.5,3.5,8.5,4.5,22
0.5,4.5,2.5,4.5,1.5,2.5,3.5,0.5,8
0.5,1.5,3.5,2.5,6.5,2.5,4.5,4.5,3
0.5,4.5,0.5,4.5,0.5,3.5,3.5,4.5,5
0.5,4.5,0.5,4.5,2.5,3.5,8.5,1.5,7
0.5,4.5,3.5,3.5,7.5,3.5,5.5,5.5,12
0.5,1.5,1.5,1.5,4.5,1.5,8.5,0.5,14
0.5,4.5,0.5,4.5,3.5,3.5,8.5,5.5,19
0.5,4.5,2.5,5.005588147097906,8.5,2.5,7.016382353664958,0.5,23
3.5,2.5,4.5,3.5,4.5,3.5,6.5,1.5,3
0.5,4.5,3.5,3.5,5.5,3.5,8.5,1.5,4
1.5,0.5,6.5,1.5,8.5,2.5,7.5,3.5,9
0.5,4.5,1.5,3.5,2.5000000000000004,1.9721797178894342,5.5,0.5,10
3.5,3.5,6.5,2.5,8.5,3.5,6.5,2.5,3
6.5,2.5,8.5,3.5,6.5,2.5,4.5,0.5,4
1.5,1.5,4.5,2.5,6.5,2.5,6.5,4.5,9
3.5,4.5,7.5,3.5,8.5,4.5,6.5,4.5,6
0.5,1.5,1.5,2.5,5.5,2.5,8.5,1.5,10
0.5,5.5,1.5,4.5,2.5,4.5,5.5,2.5,3
0.5,4.5,3.5,4.5,5.5,3.5,5.5,0.5,9
0.5,3.5,2.5,3.5,5.5,3.5,7.5,5.5,15
1.5,0.5,7.5,1.5,0.5,4.5,5.5,2.5,1
0.5,3.5,3.5,2.5,8.5,2.5,8.5,3.5,5
0.5,3.5,1.5,2.5,7.5,2.5,8.5,1.5,6
0.5,2.5,0.5,4.5,1.5,4.5,6.5,3.5,8
0.5,1.5,3.5,1.5,1.5,4.5,3.5,1.5,8
0.5,2.5,3.5,4.5,6.5,3.5,6.5,5.5,5
0.5,2.5,0.5,0.5,2.5,1.5,6.5,2.5,15
0.5,1.5,0.5,2.5,3.5,4.5,6.5,4.5,6
0.5,0.5,0.5,2.5,3.5,2.5,6.5,4.5,8
1.5,4.5,4.5,2.5,7.5,2.5,7.5,0.5,10
0.5,2.5,1.5,2.5,4.5,1.5,8.5,0.5,12
0.5,3.5,0.5,3.5,0.5,5.5,6.5,5.5,5
0.5,1.5,0.5,2.5,3.5,3.5,8.5,3.5,10
0.5,2.5,3.5,3.5,8.5,3.5,8.5,0.5,11
3.5,2.5,6.5,2.5,5.5,2.5,7.5,2.5,4
0.5,1.5,2.5,2.5,0.5,3.5,1.5,3.5,6
4.5,2.5,8.5,2.5,8.500000000000002,2.913915116943876,4.5,4.5,7
0.5,1.5,0.5,0.5,2.5,1.5,8.5,3.5,8
0.5,4.5,0.5,4.5,1.5,3.5,6.027260451059772,5.5,6
0.5,3.5,0.5,2.5,1.5,1.5,8.5,3.5,10
0.5,3.5,3.5,4.5,6.5,3.5,7.5,5.5,19
0.5,1.5,0.5,1.5,5.5,1.5,7.5,0.5,6
0.5,1.5,2.5,2.5,5.5,2.5,6.5,5.5,8
0.5,4.5,1.5,4.5,3.5,4.5,8.5,0.5,9
0.5,2.5,0.5,3.5,1.5,3.5,6.5,2.5,10
0.5,3.5,1.5,3.5,7.5,2.5,7.5,0.5,1
1.5,4.5,3.5,3.5,6.5,3.5,7.5,5.5,5
0.5,1.5,1.5,3.5,2.5,3.5,7.5,5.5,14
0.5,2.5,2.5,3.5,5.5,3.5,7.5,3.5,4
0.5,3.5,2.5,1.5,5.5,2.5,6.5,3.5,5
0.5,3.5,2.5,2.5,4.5,2.5,5.5,0.5,11
2.5,3.5,4.5,2.5,6.5,3.5,7.5,4.5,22
0.5,3.5,2.5,3.5,8.5,3.5,7.5,5.5,23
0.5,5.5,0.5,4.5,3.5,3.5,7.5,2.5,7
