CaloAX,CaloAY,CaloBX,CaloBY,StartingCalo
2.5,2.5,2.5,1.5,7
4.5,2.5,7.5,3.5,7
0.5,2.5,3.5,3.5,7
0.5,4.5,3.5,5.5,7
0.5,3.5,1.5,2.5,8
1.5,3.5,2.5,4.5,8
0.5,1.5,0.5,3.5,8
0.5,2.5,2.5,1.5,8
1.5,3.5,0.5,4.5,8
0.5,2.5,1.5,4.5,8
2.5,1.5,6.5,2.5,8
1.5,2.5,4.5,4.5,8
0.5,3.5,3.5,3.5,8
0.5,4.5,2.5,5.5,8
3.5,3.5,7.5,2.5,8
1.5,2.5,5.5,0.5,9
2.5,1.5,4.5,2.5,9
0.5,0.5,4.5,1.5,9
0.5,3.5,3.5,3.5,10
4.5,2.5,5.5,2.5,10
0.5,1.5,3.5,2.5,10
1.5,0.5,2.5,1.5,10
1.5,3.5,4.5,3.5,10
0.5,3.5,1.5,3.5,10
1.5,1.5,3.5,0.5,10
0.5,1.5,1.5,0.5,10
0.5,1.5,3.5,0.5,11
3.5,3.5,8.5,4.5,11
1.5,0.5,5.5,1.5,11
3.5,2.5,6.5,3.5,11
4.5,3.5,8.5,4.5,11
1.5,3.5,5.5,5.5,11
0.5,0.5,2.5,1.5,11
1.5,0.5,8.5,2.5,11
0.5,2.5,5.5,1.5,12
1.5,3.5,4.5,5.5,12
0.5,5.5,5.5,5.5,12
0.5,3.5,4.5,2.5,12
1.5,3.5,0.5,3.5,12
2.5,1.5,6.5,4.5,12
0.5,3.5,3.5,4.5,12
0.5,2.5,1.5,1.5,12
4.5,2.5,8.5,3.5,13
0.5,2.5,0.5,3.5,13
1.5,1.5,4.5,0.5,13
0.5,3.5,6.5,3.5,14
0.5,5.5,4.5,5.5,14
0.5,3.5,1.5,2.5,15
0.5,3.5,2.5,1.5,15
3.5,4.5,8.5,5.5,17
0.5,3.5,1.5,2.5,17
1.5,2.5,5.5,1.5,18
0.5,4.5,3.5,5.5,19
1.5,1.5,5.5,1.5,19
0.5,0.5,7.5,1.5,20
1.5,2.5,4.5,4.5,20
0.5,2.5,7.5,1.5,20
1.5,2.5,6.5,2.5,21
0.5,4.5,0.5,5.5,21
0.5,4.5,4.5,4.5,21
1.5,2.5,7.5,5.5,23
0.5,1.5,1.5,0.5,23
0.5,3.5,2.4999999999999996,2.0043960756211834,23
2.5,2.5,5.5,2.5,24
1.5,2.5,8.5,2.5,24
1.5,2.5,5.5,1.5,24
0.5,4.5,7.500000000000001,5.001183369182698,24
2.5,3.5,6.5,3.5,24
7.43317956571366,4.5,0.5,2.5,24
0.5,2.5,3.5,1.5,1
0.5,1.5,2.5,0.5,1
1.5,3.5,3.5,3.5,1
0.5,3.5,0.5,1.5,1
1.5,2.5,8.5,3.5,1
0.5,2.5,0.5,0.5,1
0.5,1.5,0.5,0.5,3
0.5,3.5,3.5,3.5,3
0.5,2.5,2.5,5.5,4
0.5,2.5,3.5,4.5,4
0.5,1.5,2.5,0.5,4
